precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado.1,acceso_movilidad_reducida,provincia,precio_m2,precio_m2_cubierto,precio_m2_medio_localidad,precio_m2_cubierto_medio_localidad,precio_medio_localidad,precio_medio_prov,num_provincia
1200,0,Libertad  al 300,"Acacias, El Cazador",600,180,4,2,3,17,0,0,Muy luminoso,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Zona Norte (GBA),2.0,6.666666666666667,2.6471628167020333,6.446588311435908,1115.3846153846155,1160.7142857142858,3
1200,0,Puertos del Lago Acacias,"Acacias, El Cazador",600,180,4,3,3,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Zona Norte (GBA),2.0,6.666666666666667,2.6471628167020333,6.446588311435908,1115.3846153846155,1160.7142857142858,3
1200,0,Acacias Puertos del Lago 0,"Acacias, El Cazador",600,140,4,2,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),2.0,8.571428571428571,2.6471628167020333,6.446588311435908,1115.3846153846155,1160.7142857142858,3
1100,0,Acacias Alquiler Anual con Pileta,"Acacias, El Cazador",560,170,4,2,3,17,0,SE,Muy luminoso,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,1,0,0,1,0,1,1,1,0,0,0,0,0,Zona Norte (GBA),1.9642857142857142,6.470588235294118,2.6471628167020333,6.446588311435908,1115.3846153846155,1160.7142857142858,3
1000,0,ACACIAS - PUERTOS / ESCOBAR 100,"Acacias, El Cazador",260,180,4,3,3,3,0,S,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,1,0,0,0,1,0,1,0,1,0,0,0,0,0,Zona Norte (GBA),3.8461538461538463,5.555555555555555,2.6471628167020333,6.446588311435908,1115.3846153846155,1160.7142857142858,3
900,150.0,Casa Acacias Puertos del Lago,"Acacias, El Cazador",600,140,4,3,3,17,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,,1,0,0,0,0,0,1,1,1,0,0,0,0,0,Zona Norte (GBA),1.5,6.428571428571429,2.6471628167020333,6.446588311435908,1115.3846153846155,1160.7142857142858,3
900,0,Casa 4 Ambientes en Venta y Alquiler. Barrio Acacias,"Acacias, El Cazador",600,176,4,3,3,17,0,E,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,0,0,0,0,1,0,0,0,0,0,1,0,Zona Norte (GBA),1.5,5.113636363636363,2.6471628167020333,6.446588311435908,1115.3846153846155,1160.7142857142858,3
1200,380.0,Puertos Del Lago Barrio Acacias,"Acacias, El Cazador",600,180,4,3,3,1,0,0,Muy luminoso,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Zona Norte (GBA),2.0,6.666666666666667,2.6471628167020333,6.446588311435908,1115.3846153846155,1160.7142857142858,3
1500,400.0,Puertos Acacias 0,"Acacias, El Cazador",587,235,5,4,4,2,0,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),2.5553662691652472,6.382978723404255,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1400,0,Acacias Puertos del Lago,"Acacias, El Cazador",600,187,5,2,3,17,0,E,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,,1,0,0,0,1,1,1,1,1,0,0,0,0,0,Zona Norte (GBA),2.3333333333333335,7.4866310160427805,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1350,0,Hermoso Alquiler en Puertos Acacias,"Acacias, El Cazador",750,173,5,4,4,17,0,0,Muy luminoso,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,1,1,0,0,0,0,1,0,1,0,0,0,0,0,Zona Norte (GBA),1.8,7.803468208092486,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1350,0,Acacias,"Acacias, El Cazador",588,173,5,3,4,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Zona Norte (GBA),2.295918367346939,7.803468208092486,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1300,0,Acacias al 100,"Acacias, El Cazador",580,167,5,3,3,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),2.2413793103448274,7.7844311377245505,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1300,400.0,Acacias Puertos,"Acacias, El Cazador",587,235,5,3,4,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),2.2146507666098807,5.531914893617022,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1200,0,Barrio Acacias Puertos del Lago,"Acacias, El Cazador",600,180,5,3,4,17,0,0,Muy luminoso,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,1,0,0,0,0,0,1,1,1,0,0,0,1,0,Zona Norte (GBA),2.0,6.666666666666667,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1200,130.0,Puertos del Lago Acacias,"Acacias, El Cazador",600,180,5,4,4,17,0,0,Muy luminoso,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,,1,1,0,0,1,0,1,0,1,0,0,0,0,0,Zona Norte (GBA),2.0,6.666666666666667,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1200,350.0,av de los Lagos 100,"Acacias, El Cazador",600,180,5,3,4,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Zona Norte (GBA),2.0,6.666666666666667,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1100,350.0,av de los Lagos  100,"Acacias, El Cazador",600,176,5,3,4,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Zona Norte (GBA),1.8333333333333333,6.25,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
900,0,Puertos DEL Lago Acacias,"Acacias, El Cazador",600,176,5,3,4,17,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Zona Norte (GBA),1.5,5.113636363636363,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
900,180.0,Puertos del Lago - Acacias 1000,"Acacias, El Cazador",600,176,5,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),1.5,5.113636363636363,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
900,0,Casa EN Alquiler Y  EN Venta  EN Puertos- Maroto Propiedades,"Acacias, El Cazador",550,176,5,4,3,17,0,0,Muy luminoso,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Zona Norte (GBA),1.6363636363636365,5.113636363636363,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
900,140.0,Puertos del Lago  Barrio Acacias Escobar,"Acacias, El Cazador",600,180,5,4,4,17,0,0,Muy luminoso,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,1,0,0,1,0,1,0,1,0,0,0,0,0,Zona Norte (GBA),1.5,5.0,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
900,50.0,Casa EN Alquiler  Puertos Barrio  Acacias  9223,"Acacias, El Cazador",650,176,5,3,4,2,0,O,Muy luminoso,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0,0,0,1,0,1,1,0,0,0,0,1,0,Zona Norte (GBA),1.3846153846153846,5.113636363636363,1.919664026740839,6.299829176101269,1160.0,1160.7142857142858,3
1500,400.0,Alquiler Anual- USD 2500 con Muebles.,"Acacias, El Cazador",587,235,6,3,4,2,0,N,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),2.5553662691652472,6.382978723404255,2.5166022299523614,7.228815643832246,1400.0,1160.7142857142858,3
1350,380.0,Barrio Acacias Puertos del Lago,"Acacias, El Cazador",587,173,6,4,3,2,0,NO,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Zona Norte (GBA),2.299829642248722,7.803468208092486,2.5166022299523614,7.228815643832246,1400.0,1160.7142857142858,3
1350,300.0,Casa Lote Interno Acacias Puertos del Lago,"Acacias, El Cazador",501,180,6,2,3,17,0,NO,Muy luminoso,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,,1,0,0,0,1,0,1,1,1,0,0,0,0,0,Zona Norte (GBA),2.694610778443114,7.5,2.5166022299523614,7.228815643832246,1400.0,1160.7142857142858,3
