precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado.1,acceso_movilidad_reducida,provincia,precio_m2,precio_m2_cubierto,precio_m2_medio_localidad,precio_m2_cubierto_medio_localidad,precio_medio_localidad,precio_medio_prov,num_provincia
360,0,Saavedra 2400,"Ciudad de Santa Fe, Santa Fe",50,50,2,1,1,10,Frente,E,Muy luminoso,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,7.2,7.2,6.111986364354785,6.657286974129079,284.0,419.06666666666666,Santa Fe
420,0,Garden Inn Puerto Santa Fe,"Ciudad de Santa Fe, Santa Fe",55,52,2,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,7.636363636363637,8.076923076923077,6.111986364354785,6.657286974129079,284.0,419.06666666666666,Santa Fe
230,0,Huergo  al 1700,"Ciudad de Santa Fe, Santa Fe",40,40,3,1,1,5,Contrafrente,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,5.75,5.75,6.527275768710407,6.861094171582518,364.6666666666667,419.06666666666666,Santa Fe
260, $ 20.000,La Rioja 3000,"Ciudad de Santa Fe, Santa Fe",46,42,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,5.6521739130434785,6.190476190476191,6.527275768710407,6.861094171582518,364.6666666666667,419.06666666666666,Santa Fe
290,0,Av. French 369,"Ciudad de Santa Fe, Santa Fe",39,39,3,1,1,20,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Santa Fe,7.435897435897436,7.435897435897436,6.527275768710407,6.861094171582518,364.6666666666667,419.06666666666666,Santa Fe
360,0,Sargento Cabral al 2000,"Ciudad de Santa Fe, Santa Fe",45,45,3,1,2,20,Frente,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,8.0,8.0,6.527275768710407,6.861094171582518,364.6666666666667,419.06666666666666,Santa Fe
420, $ 36.000,Gran Estar Comedor con Balcon Cocina Independiente Escritorio 2 Baños 2 Dorm Balcon Lavadero,"Ciudad de Santa Fe, Santa Fe",78,68,3,2,2,3,Frente,S,Muy luminoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,0,1,1,0,0,0,0,0,0,1,0,0,0,Santa Fe,5.384615384615385,6.176470588235294,6.527275768710407,6.861094171582518,364.6666666666667,419.06666666666666,Santa Fe
436, $ 34.000,Esquina Amplio Estar Comedor Grandes Aberturas Dormitorios CON Placares,"Ciudad de Santa Fe, Santa Fe",53,53,3,1,2,15,Frente,NE,Muy luminoso,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,8.226415094339623,8.226415094339623,6.527275768710407,6.861094171582518,364.6666666666667,419.06666666666666,Santa Fe
446, $ 37.000,Piso Alto Semipiso 2 Dormitorios 2 Baños 2 Balcones con Placares Cocina y Calefon,"Ciudad de Santa Fe, Santa Fe",78,68,3,2,2,20,Frente,S,Muy luminoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,0,1,1,0,0,0,0,0,0,1,0,0,0,Santa Fe,5.717948717948718,6.5588235294117645,6.527275768710407,6.861094171582518,364.6666666666667,419.06666666666666,Santa Fe
550,0,General Lopez al 3200,"Ciudad de Santa Fe, Santa Fe",60,55,3,1,2,7,Frente,S,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Santa Fe,9.166666666666666,10.0,6.527275768710407,6.861094171582518,364.6666666666667,419.06666666666666,Santa Fe
340, $ 25.000,1 de Mayo al 1400,"Ciudad de Santa Fe, Santa Fe",58,58,4,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,5.862068965517241,5.862068965517241,4.111808178414349,4.490519237617639,391.0,419.06666666666666,Santa Fe
